Team,Games Played,Wins,Losses,OTL,Points
TAMPA BAY LIGHTNING,86,58,24,4,120
NASHVILLE PREDATORS,86,54,22,10,118
VEGAS GOLDEN KNIGHTS,87,54,28,5,113
WINNIPEG JETS,87,51,26,10,112
TORONTO MAPLE LEAFS,86,52,27,7,111
BOSTON BRUINS,87,51,28,8,110
SAN JOSE SHARKS,87,48,30,9,105
WASHINGTON CAPITALS,87,48,32,7,103
COLORADO AVALANCHE,87,47,32,8,102
ANAHEIM DUCKS,87,45,30,12,102
LOS ANGELES KINGS,87,48,33,6,102
MINNESOTA WILD,87,47,33,7,101
PITTSBURGH PENGUINS,86,48,33,5,101
PHILADELPHIA FLYERS,87,45,31,11,101
COLUMBUS BLUE JACKETS,86,46,35,5,97
ST. LOUIS BLUES,87,46,36,5,97
CALGARY FLAMES,87,43,34,10,96
FLORIDA PANTHERS,86,44,35,7,95
DALLAS STARS,88,43,37,8,94
NEW JERSEY DEVILS,86,43,35,8,94
NEW YORK ISLANDERS,86,39,37,10,88
CAROLINA HURRICANES,86,38,37,11,87
NEW YORK RANGERS,86,38,40,8,84
CHICAGO BLACKHAWKS,87,37,41,9,83
EDMONTON OILERS,87,38,44,5,81
OTTAWA SENATORS,87,34,42,11,79
MONTREAL CANADIENS,87,33,42,12,78
DETROIT RED WINGS,87,32,44,11,75
BUFFALO SABRES,85,31,42,12,74
VANCOUVER CANUCKS,87,32,46,9,73
ARIZONA COYOTES,87,30,46,11,71
